diseaseId,disease_mention,geneId,gene_mention,pmid,raw_sentence,associationType
MESH:D006939,Cannabinoid hyperemesis syndrome,1130,CHS,28000146,Cannabinoid hyperemesis syndrome (CHS) is a syndrome of cyclic vomiting associated with cannabis use.,Negative
MESH:D012183,TGN,23621,BACE1,28000370,These findings demonstrate that APP is diverted from BACE1 at the TGN for direct transport to early endosomes and that the TGN represents a site for APP processing with the subsequent secretion of Ab.,Negative
MESH:D012183,TGN,3726,AP1,28000370,"Arl5b is physically associated with AP4 and is required for the recruitment of AP4, but not AP1, to the TGN.",Negative
MESH:D014947,trauma,100324027,pO2,28000769,The pO2/FiO2 ratio in trauma animals decreased over the observation period (p   <   0.0001) but not in the sham group (p   =   0.2967).,Negative
MESH:D005910,glioma,407028,microRNA-302a,28000880,"In the present study, we for the first time found that microRNA-302a (miR-302a) was significantly downregulated in both glioma tissues and cell lines.",Negative
MESH:D002289,non-small cell lung cancer,442912,miR-367,28000899,"In the present study, we analyzed the expression of miR-367 in tumor and adjacent tissue samples from 113  patients with non-small cell lung cancer (NSCLC) utilizing real-time PCR.",Negative
MESH:D008175,lung cancer,442912,miR-367,28000899,The involvement of miR-367 in lung cancer development remains unclear.,Negative
MESH:D004342,hypersensitivity,364594,TLR3,28000161,Autophagy inhibition further inhibits TLR3-mediated mechanical and cold hypersensitivity following SNL.,Negative
MESH:C563319,desminopathy,2489,FSHD,28000226,"RESULTS: Complex repetitive discharges (CRDs) occurred more frequently than fibrillation potentials (fibs) and positive sharp waves (PSWs) in centronuclear myopathy (CNM) and limb-girdle muscular dystrophy type 2A (LGMD-2A), whereas fibs/PSWs were observed more often in desminopathy and facioscapulohumeral dystrophy (FSHD).",Negative
MESH:D020391,facioscapulohumeral dystrophy,2489,FSHD,28000226,"RESULTS: Complex repetitive discharges (CRDs) occurred more frequently than fibrillation potentials (fibs) and positive sharp waves (PSWs) in centronuclear myopathy (CNM) and limb-girdle muscular dystrophy type 2A (LGMD-2A), whereas fibs/PSWs were observed more often in desminopathy and facioscapulohumeral dystrophy (FSHD).",Negative
MESH:D018754,diastolic dysfunction,287362,NLRP3,28000751,"Renal injury in SNx animals was also associated with significant diastolic dysfunction, macrophage infiltration, and cardiac NLRP3 inflammasome activation.",Negative
OMIM:217000,Bcl  -2,581,Bax,28000873,"The aim of the present study was to elucidate the role of ROS in mediating the effect of SalB on drug resistance and the correlation with drug resistance  -associated protein, P  -glycoprotein (P  -gp), and apoptosis  -associated proteins, B  -cell lymphoma 2 (Bcl  -2) and Bcl  -2  -associated X (Bax).",Negative
MESH:D009410,neuronal apoptosis,100102,PCSK9,28000893,"However, the function and mechanism of PCSK9 in neuronal apoptosis following hyperlipidemia remains to be elucidated.",Negative
MESH:D009410,neuronal apoptosis,12028,Bax,28000893,"In addition, CA3 neurons in the HFD group indicated apparent injuries and increased neuronal apoptosis, which are associated with the expression of Bcl  -2, Bax, and caspase  -3.",Negative
MESH:D009410,neuronal apoptosis,12043,Bcl  -2,28000893,"In addition, CA3 neurons in the HFD group indicated apparent injuries and increased neuronal apoptosis, which are associated with the expression of Bcl  -2, Bax, and caspase  -3.",Negative
MESH:D016393,B  -cell lymphoma  2,12043,Bcl  -2,28000893,"The expression levels of PCSK9, b  -secretase  1 (BACE1), B  -cell lymphoma  2 (Bcl  -2), Bcl  -2  -associated X  protein (Bax), and caspase  -3 in hippocampal CA3 and CA1 neurons were also measured.",Negative
OMIM:217000,Bcl  -2,12346,CA1,28000893,"The expression levels of PCSK9, b  -secretase  1 (BACE1), B  -cell lymphoma  2 (Bcl  -2), Bcl  -2  -associated X  protein (Bax), and caspase  -3 in hippocampal CA3 and CA1 neurons were also measured.",Negative
OMIM:217000,Bcl  -2,12350,CA3,28000893,"The expression levels of PCSK9, b  -secretase  1 (BACE1), B  -cell lymphoma  2 (Bcl  -2), Bcl  -2  -associated X  protein (Bax), and caspase  -3 in hippocampal CA3 and CA1 neurons were also measured.",Negative
MESH:D009410,neuronal apoptosis,12367,caspase  -3,28000893,"In addition, CA3 neurons in the HFD group indicated apparent injuries and increased neuronal apoptosis, which are associated with the expression of Bcl  -2, Bax, and caspase  -3.",Negative
OMIM:217000,Bcl  -2,12367,caspase  -3,28000893,"The expression levels of PCSK9, b  -secretase  1 (BACE1), B  -cell lymphoma  2 (Bcl  -2), Bcl  -2  -associated X  protein (Bax), and caspase  -3 in hippocampal CA3 and CA1 neurons were also measured.",Negative
MESH:D012552,schistosomiasis,3586,interleukin-10,28001230,INTRODUCTION:: We evaluated the associations between interleukin-10 (IL-10) gene polymorphisms -G1082A/-C819T/-C592A and periportal fibrosis regression after specific treatment for schistosomiasis.,Negative
MESH:D007752,preterm delivery,5177,PIH,28002314,"The primary focus was pregnancy outcomes, including gestational diabetes mellitus (GDM), preeclampsia, pregnancy-induced hypertension (PIH), preterm delivery, cesarean delivery, oligohydramnios, and polyhydramnios.",Negative
