NofPmids,NofSnps,associationType,diseaseId,diseaseName,diseaseType,disease_mention,geneId,geneSymbol,gene_mention,originalSource,pmid,raw_sentence,score,sentence,source
2.0,0.0,Biomarker,C0043459,Zellweger Syndrome,disease,H-02,5194,PEX13,PEX13,CTD_human,10332040,"We now have evidence that the complete human cDNA encoding Pex13p, an SH3 protein of a docking factor for the peroxisome targeting signal 1 receptor (Pex5p), rescues peroxisomal matrix protein import and its assembly in fibroblasts from PBD patients of complementation group H. In addition, we detected mutations on the human PEX13 cDNA in two patients of group H. A severe phenotype of a ZS patient (H-02) was homozygous for a nonsense mutation, W234ter, which results in the loss of not only the SH3 domain but also the putative transmembrane domain of Pex13p.",0.400549453568426,"We now have evidence that the complete human cDNA encoding Pex13p, an SH3 protein of a docking factor for the peroxisome targeting signal 1 receptor (Pex5p), rescues peroxisomal matrix protein import and its assembly in fibroblasts from PBD patients of complementation group H. In addition, we detected mutations on the human <span class=""gene"" id=""10332040-3-326-331"">PEX13</span> cDNA in two patients of group H. A severe phenotype of a <span class=""disease"" id=""10332040-3-389-391"">ZS</span> patient (<span class=""disease"" id=""10332040-3-401-405"">H-02</span>) was homozygous for a nonsense mutation, W234ter, which results in the loss of not only the SH3 domain but also the putative transmembrane domain of Pex13p.",CTD_human;ORPHANET
1.0,0.0,Biomarker,C0010346,Crohn Disease,disease,Crohn's disease,3593,IL12B,IL12B,CTD_human,18438406,"We also show that several risk loci are common to ulcerative colitis and Crohn's disease (IL23R, IL12B, HLA, NKX2-3 and MST1), whereas autophagy genes ATG16L1 and IRGM, along with NOD2 (also known as CARD15), are specific for Crohn's disease.",0.21911252647135104,"We also show that several risk loci are common to ulcerative colitis and <span class=""disease"" id=""18438406-2-73-88"">Crohn's disease</span> (IL23R, <span class=""gene"" id=""18438406-2-97-102"">IL12B</span>, HLA, NKX2-3 and MST1), whereas autophagy genes ATG16L1 and IRGM, along with NOD2 (also known as CARD15), are specific for <span class=""disease"" id=""18438406-2-226-241"">Crohn's disease</span>.",CTD_human
,,Negative,MESH:D000012,,,ABL,6714,,SRC,,28021072,"UNASSIGNED: 10006 Background: Dasatinib is an oral tyrosine kinase inhibitor of KIT, PDGFR, ABL and SRC with a distinct binding affinity for KIT and PDGFR.",,,
,,Negative,MESH:D009336,,,tumor necrosis factor a,171293,,cathepsin D,,28061403,"It also significantly restored hippocampal level of reactive oxygen species (ROS), glutathione (GSH), nuclear factor (erythroid-derived 2)-like 2 (Nrf2), activity of catalase and caspase 3, nuclear factor-<kappa>B (NF-kB), toll-like receptor 4 (TLR4), tumor necrosis factor a (TNFa), interleukin-1b (IL-1b), neural cell adhesion molecule (NCAM), glial fibrillary acidic protein (GFAP), cathepsin D, and heme oxygenase 1 (HO-1).",,,
,,Negative,MESH:D002545,,,cerebral ischemia,81687,,MMP-9,,28059805,"Finally, the induction of MMP-2 and MMP-9 by cerebral ischemia was partially blocked by crocin in aged rats.",,,
1.0,0.0,Biomarker,C0079744,Diffuse Large B-Cell Lymphoma,disease,diffuse large cell lymphoma,567,B2M,beta 2 microglobulin,CTD_human,7688627,Value of serum beta 2 microglobulin as an indicator of early relapse in diffuse large cell lymphoma.,0.20054945356842604,"Value of serum <span class=""gene"" id=""7688627-0-15-35"">beta 2 microglobulin</span> as an indicator of early relapse in <span class=""disease"" id=""7688627-0-72-99"">diffuse large cell lymphoma</span>.",CTD_human
1.0,0.0,Biomarker,C2239176,Liver carcinoma,disease,Hepatocellular Carcinoma,7099,TLR4,Toll-like Receptor 4,CTD_human,27022031,Toll-like Receptor 4 on Macrophage Promotes the Development of Steatohepatitis-related Hepatocellular Carcinoma in Mice.,0.203021994626344,"<span class=""gene"" id=""27022031-0-0-20"">Toll-like Receptor 4</span> on Macrophage Promotes the Development of Steatohepatitis-related <span class=""disease"" id=""27022031-0-87-111"">Hepatocellular Carcinoma</span> in Mice.",CTD_human
1.0,0.0,Biomarker,C0020538,Hypertensive disease,group,hypertension,5728,PTEN,PTEN,CTD_human,15646324,"The findings indicated that the expression of PTEN is reduced in hypertensive aorta, that the reduced PTEN experession can be reversed by captopril treatment, that AngII and the increased mechanical strain may participate in regulating expression of PTEN, and that PTEN may play a role in the arterial remodeling induced by hypertension.",0.2,"The findings indicated that the expression of <span class=""gene"" id=""15646324-9-46-50"">PTEN</span> is reduced in hypertensive aorta, that the reduced <span class=""gene"" id=""15646324-9-102-106"">PTEN</span> experession can be reversed by captopril treatment, that AngII and the increased mechanical strain may participate in regulating expression of <span class=""gene"" id=""15646324-9-250-254"">PTEN</span>, and that <span class=""gene"" id=""15646324-9-265-269"">PTEN</span> may play a role in the arterial remodeling induced by <span class=""disease"" id=""15646324-9-324-336"">hypertension</span>.",CTD_human
,,Negative,MESH:D010300,,,Familial forms of Parkinson's disease,31607,,PINK1,,28011627,Familial forms of Parkinson's disease (PD) caused by mutations in PINK1 are linked to mitochondrial impairment.,,,
1.0,0.0,Biomarker,C0001430,Adenoma,group,adenoma,7296,TXNRD1,TXNRD1,CTD_human,18483336,"Consistent with the individual SNP results, we observed a significant overall association with adenoma risk for SEPP1 and TXNRD1 (global P = 0.02 and 0.008, respectively) but not for the four GPX genes.",0.20541466777231496,"Consistent with the individual SNP results, we observed a significant overall association with <span class=""disease"" id=""18483336-10-95-102"">adenoma</span> risk for SEPP1 and <span class=""gene"" id=""18483336-10-122-128"">TXNRD1</span> (global P = 0.02 and 0.008, respectively) but not for the four GPX genes.",CTD_human
