NofPmids,NofSnps,associationType,diseaseId,diseaseName,diseaseType,disease_mention,geneId,geneSymbol,gene_mention,originalSource,pmid,raw_sentence,score,sentence,source
5,0,Biomarker,C0005695,Bladder Neoplasm,disease,bladder cancer,10,NAT2,NAT2,CTD_human,10022756,"The NAT2 slow acetylator genotype is associated with bladder cancer in Taiwanese, but not in the Black Foot Disease endemic area population.",0.24587142988000799,"The <span class=""gene"" id=""10022756-0-4-8"">NAT2</span>* slow acetylator genotype is associated with <span class=""disease"" id=""10022756-0-54-68"">bladder cancer</span> in Taiwanese, but not in the Black Foot Disease endemic area population.",CTD_human
5,0,Biomarker,C0005695,Bladder Neoplasm,disease,bladder cancer,10,NAT2,NAT2,CTD_human,18505952,"Assuming a very low prior probability of 0.000001, similar to a probability assumed for a randomly selected single-nucleotide polymorphism in a genome-wide association study, and statistical power to detect an OR of 1.5, 4 associations were considered noteworthy as denoted by an FPRP value <0.2: GSTM1 null and bladder cancer (OR, 1.5; 95% CI, 1.3-1.6; P = 1.9 x 10(-14)), NAT2 slow acetylator and bladder cancer (OR, 1.46; 95% CI, 1.26-1.68; P = 2.5 x 10(-7)), MTHFR C677T and gastric cancer (OR, 1.52; 95% CI, 1.31-1.77; P = 4.9 x 10(-8)), and GSTM1 null and acute leukemia (OR, 1.20; 95% CI, 1.14-1.25; P = 8.6 x 10(-15)).",0.24587142988000799,"Assuming a very low prior probability of 0.000001, similar to a probability assumed for a randomly selected single-nucleotide polymorphism in a genome-wide association study, and statistical power to detect an OR of 1.5, 4 associations were considered noteworthy as denoted by an FPRP value &lt;0.2: GSTM1 null and <span class=""disease"" id=""18505952-10-312-326"">bladder cancer</span> (OR, 1.5; 95% CI, 1.3-1.6; P = 1.9 x 10(-14)), <span class=""gene"" id=""18505952-10-374-378"">NAT2</span> slow acetylator and <span class=""disease"" id=""18505952-10-399-413"">bladder cancer</span> (OR, 1.46; 95% CI, 1.26-1.68; P = 2.5 x 10(-7)), MTHFR C677T and gastric cancer (OR, 1.52; 95% CI, 1.31-1.77; P = 4.9 x 10(-8)), and GSTM1 null and acute leukemia (OR, 1.20; 95% CI, 1.14-1.25; P = 8.6 x 10(-15)).",CTD_human
1,0,Biomarker,C0023903,Liver neoplasms,group,liver tumors,10,NAT2,NAT2,CTD_human,19666988,Our results are consistent with the tumor target specificity of PhIP and MeIQx and with increased susceptibility to MeIQx-induced liver tumors in rapid NAT2 acetylators.,0.209628114093152,"Our results are consistent with the tumor target specificity of PhIP and MeIQx and with increased susceptibility to MeIQx-induced <span class=""disease"" id=""19666988-9-130-142"">liver tumors</span> in rapid <span class=""gene"" id=""19666988-9-152-156"">NAT2</span> acetylators.",CTD_human
1,0,Biomarker,C0027794,Neural Tube Defects,group,NTD,10,NAT2,NAT2,CTD_human,20641098,"Mothers who consumed caffeine, oxidized CYP1A2*1F quickly, and acetylized NAT2 slowly had a nonsignificantly elevated estimated risk for an NTD-affected pregnancy (OR, 3.10; 95% CI, 0.86-11.21).",0.200274726784213,"Mothers who consumed caffeine, oxidized CYP1A2*1F quickly, and acetylized <span class=""gene"" id=""20641098-8-74-78"">NAT2</span> slowly had a nonsignificantly elevated estimated risk for an <span class=""disease"" id=""20641098-8-140-143"">NTD</span>-affected pregnancy (OR, 3.10; 95% CI, 0.86-11.21).",CTD_human
1,0,Biomarker,C0345967,Malignant mesothelioma,disease,MM,10,NAT2,NAT2,CTD_human,16697254,"Combination of NAT2 fast acetylator and GSTM1 null genotype posed a significantly increased risk of MM in the Italian, but not in the Finnish study.",0.20350593566014002,"Combination of <span class=""gene"" id=""16697254-10-15-19"">NAT2</span> fast acetylator and GSTM1 null genotype posed a significantly increased risk of <span class=""disease"" id=""16697254-10-100-102"">MM</span> in the Italian, but not in the Finnish study.",CTD_human
1,0,Biomarker,C1956346,Coronary Artery Disease,disease,coronary artery disease,10,NAT2,NAT2,CTD_human,21572414,"Variants at three of these loci have previously been linked with important clinical outcomes: SLC7A9 is a risk locus for chronic kidney disease, NAT2 for coronary artery disease and genotype-dependent response to drug toxicity, and SLC6A20 for iminoglycinuria.",0.200274726784213,"Variants at three of these loci have previously been linked with important clinical outcomes: SLC7A9 is a risk locus for chronic kidney disease, <span class=""gene"" id=""21572414-5-145-149"">NAT2</span> for <span class=""disease"" id=""21572414-5-154-177"">coronary artery disease</span> and genotype-dependent response to drug toxicity, and SLC6A20 for iminoglycinuria.",CTD_human
1,0,Biomarker,C0004352,Autistic Disorder,disease,Autism,100,ADA,adenosine deaminase,CTD_human,11354825,Autism: evidence of association with adenosine deaminase genetic polymorphism.,0.208645876648242,"<span class=""disease"" id=""11354825-0-0-6"">Autism</span>: evidence of association with <span class=""gene"" id=""11354825-0-37-56"">adenosine deaminase</span> genetic polymorphism.",CTD_human
2,0,Therapeutic,C0020452,Hyperemia,disease,hyperemia,100,ADA,adenosine deaminase,CTD_human,7949234,Combining adenosine deaminase with propranolol further reduced peak conductance and the hyperemia volume compared with enzyme pretreatment alone.,0.202681755307501,"Combining <span class=""gene"" id=""7949234-7-10-29"">adenosine deaminase</span> with propranolol further reduced peak conductance and the <span class=""disease"" id=""7949234-7-88-97"">hyperemia</span> volume compared with enzyme pretreatment alone.",CTD_human
2,0,Therapeutic,C0020452,Hyperemia,disease,hyperemia,100,ADA,Adenosine deaminase,CTD_human,2502780,Adenosine deaminase completely abolished reactive hyperemia during control perfusion but only delayed it under adrenaline perfusion.,0.202681755307501,"<span class=""gene"" id=""2502780-5-0-19"">Adenosine deaminase</span> completely abolished reactive <span class=""disease"" id=""2502780-5-50-59"">hyperemia</span> during control perfusion but only delayed it under adrenaline perfusion.",CTD_human
1,1,Biomarker,C0014175,Endometriosis,disease,endometriosis,100048912,CDKN2B-AS1,CDKN2BAS,CTD_human,20601957,A genome-wide association study identifies genetic variants in the CDKN2BAS locus associated with endometriosis in Japanese.,0.201373633921065,"A genome-wide association study identifies genetic variants in the <span class=""gene"" id=""20601957-0-67-75"">CDKN2BAS</span> locus associated with <span class=""disease"" id=""20601957-0-98-111"">endometriosis</span> in Japanese.",CTD_human
